Year,Norpoth,repub_inc
1912,56.0843,1
1916,53.4563,0
1920,34.81448,0
1924,33.12131,1
1928,43.64366,1
1932,58.06995,1
1936,61.66583,0
1940,56.88954,0
1944,53.05702,0
1948,54.60078,0
1952,42.75747,0
1956,41.71259,1
1960,47.58386,1
1964,57.98899,0
1968,48.50362,0
1972,41.86328,1
1976,50.07347,1
1980,47.57623,0
1984,43.26635,1
1988,50.51424,1
1992,52.49765,1
1996,55.99378,0
2000,49.75772,0
2004,46.38743,1
2008,50.67013,1
