Year,Abramowitz
1948,51.626
1952,44.432
1956,59.943
1960,48.956
1964,61.306
1968,50.511
1972,60.869
1976,49.336
1980,44.281
1984,58.315
1988,51.887
1992,47.852
1996,54.928
2000,50.802
2004,51.107
2008,46.897
