year,quarter,id,industry,UNEMP1,UNEMP2,UNEMP3,UNEMP4,UNEMP5,UNEMP6,UNEMPA,UNEMPB,UNEMPC,UNEMPD
1968,4,56,-999,3.599999998,3.599999998,3.899999999,4.199999999,3.699999999,3.599999998,-999,-999,-999,-999
1968,4,57,-999,3.599999998,3.599999998,4,4.199999999,4.5,4.5,-999,-999,-999,-999
1968,4,58,-999,3.599999998,3.699999999,4.199999999,4.299999997,4,3.799999997,-999,-999,-999,-999
1968,4,59,-999,3.599999998,3.5,3.799999997,4,3.799999997,3.599999998,-999,-999,-999,-999
1968,4,60,-999,3.599999998,3.699999999,3.899999999,4,3.899999999,3.799999997,-999,-999,-999,-999
1968,4,61,-999,3.599999998,3.599999998,3.799999997,4,3.899999999,3.699999999,-999,-999,-999,-999
1968,4,62,-999,3.599999998,3.599999998,3.799999997,3.899999999,4,4.099999998,-999,-999,-999,-999
1968,4,63,-999,3.599999998,3.399999999,3.599999998,3.799999997,4,4,-999,-999,-999,-999
1968,4,64,-999,3.599999998,3.399999999,3.5,4,4.699999999,4.699999999,-999,-999,-999,-999
1968,4,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,66,-999,3.599999998,3.5,3.599999998,3.599999998,3.699999999,3.699999999,-999,-999,-999,-999
1968,4,67,-999,3.599999998,3.5,4,4.199999999,3.899999999,3.699999999,-999,-999,-999,-999
1968,4,68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,69,-999,3.599999998,3.5,3.5,3.5,3.699999999,3.899999999,-999,-999,-999,-999
1968,4,70,-999,3.599999998,3.599999998,3.799999997,4,4.099999998,3.899999999,-999,-999,-999,-999
1968,4,71,-999,3.599999998,3.799999997,4,4.199999999,4.299999997,4.5,-999,-999,-999,-999
1968,4,72,-999,3.599999998,3.5,3.799999997,4.399999999,4.199999999,4,-999,-999,-999,-999
1968,4,73,-999,3.599999998,3.699999999,3.899999999,4.099999998,3.899999999,3.699999999,-999,-999,-999,-999
1968,4,74,-999,3.599999998,3.399999999,3.699999999,4,4,3.799999997,-999,-999,-999,-999
1968,4,75,-999,3.599999998,3.699999999,3.799999997,3.899999999,3.899999999,3.899999999,-999,-999,-999,-999
1968,4,76,-999,3.599999998,3.699999999,3.799999997,4,4,4.099999998,-999,-999,-999,-999
1968,4,77,-999,3.599999998,3.199999999,3.899999999,4,3.799999997,3.599999998,-999,-999,-999,-999
1968,4,78,-999,3.599999998,3.599999998,3.699999999,3.799999997,3.899999999,4,-999,-999,-999,-999
1968,4,79,-999,3.599999998,3.5,3.599999998,3.699999999,3.899999999,3.799999997,-999,-999,-999,-999
1968,4,80,-999,3.599999998,3.599999998,3.799999997,4,4,3.799999997,-999,-999,-999,-999
1968,4,81,-999,3.599999998,3.699999999,4,4.299999997,4.299999997,4.299999997,-999,-999,-999,-999
1968,4,82,-999,3.599999998,3.599999998,3.699999999,4,4,4,-999,-999,-999,-999
1968,4,83,-999,3.599999998,3.299999997,4,4.199999999,4.5,4.5,-999,-999,-999,-999
1968,4,84,-999,3.599999998,3.599999998,4,4.299999997,3.899999999,3.699999999,-999,-999,-999,-999
1968,4,85,-999,3.599999998,3.599999998,4,4.299999997,3.899999999,3.699999999,-999,-999,-999,-999
1968,4,86,-999,3.599999998,3.699999999,3.899999999,4.199999999,4.099999998,3.899999999,-999,-999,-999,-999
1968,4,87,-999,3.599999998,3.699999999,3.799999997,4.099999998,4.199999999,4.399999999,-999,-999,-999,-999
1968,4,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,89,-999,3.599999998,3.5,3.699999999,3.899999999,4.199999999,4.5,-999,-999,-999,-999
1969,1,2,-999,3.399999999,3.599999998,3.799999997,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,1,3,-999,3.5,3.699999999,4,4,4,-999,-999,-999,-999,-999
1969,1,4,-999,3.5,3.799999997,4.199999999,4.199999999,4,-999,-999,-999,-999,-999
1969,1,6,-999,3.299999997,3.5,3.799999997,4,4,-999,-999,-999,-999,-999
1969,1,7,-999,3.399999999,3.5,3.5,3.799999997,4,-999,-999,-999,-999,-999
1969,1,8,-999,3.299999997,3.5,3.699999999,4,4.099999998,-999,-999,-999,-999,-999
1969,1,9,-999,3.399999999,3.599999998,3.899999999,4,4,-999,-999,-999,-999,-999
1969,1,10,-999,3.399999999,3.599999998,3.699999999,3.799999997,4,-999,-999,-999,-999,-999
1969,1,15,-999,3.399999999,3.599999998,4,3.799999997,3.799999997,-999,-999,-999,-999,-999
1969,1,16,-999,3.399999999,3.799999997,4,4.099999998,4.099999998,-999,-999,-999,-999,-999
1969,1,18,-999,3.399999999,3.599999998,3.799999997,3.899999999,3.799999997,-999,-999,-999,-999,-999
1969,1,21,-999,3.399999999,3.399999999,3.799999997,4,4.099999998,-999,-999,-999,-999,-999
1969,1,22,-999,3.399999999,3.5,3.599999998,3.799999997,3.699999999,-999,-999,-999,-999,-999
1969,1,23,-999,3.399999999,3.599999998,3.799999997,4,3.799999997,-999,-999,-999,-999,-999
1969,1,26,-999,3.399999999,3.299999997,3.399999999,3.5,3.599999998,-999,-999,-999,-999,-999
1969,1,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,1,29,-999,3.299999997,3.399999999,3.599999998,3.799999997,4,-999,-999,-999,-999,-999
1969,1,30,-999,3.399999999,3.399999999,3.5,3.599999998,3.699999999,-999,-999,-999,-999,-999
1969,1,31,-999,3.399999999,3.599999998,3.799999997,4,3.799999997,-999,-999,-999,-999,-999
1969,1,32,-999,3.399999999,3.5,3.799999997,3.699999999,3.699999999,-999,-999,-999,-999,-999
1969,1,37,-999,3.399999999,3.699999999,3.799999997,3.599999998,3.699999999,-999,-999,-999,-999,-999
1969,1,38,-999,3.399999999,3.599999998,3.799999997,3.5,3.299999997,-999,-999,-999,-999,-999
1969,1,39,-999,3.399999999,3.599999998,3.599999998,3.699999999,3.799999997,-999,-999,-999,-999,-999
1969,1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1969,1,41,-999,3.399999999,4.099999998,4,3.899999999,3.699999999,-999,-999,-999,-999,-999
1969,1,42,-999,3.399999999,3.399999999,3.199999999,3.199999999,3.299999997,-999,-999,-999,-999,-999
1969,1,43,-999,3.399999999,3.399999999,3.5,3.5,3.399999999,-999,-999,-999,-999,-999
1969,1,44,-999,3.399999999,3.599999998,3.899999999,4.199999999,4.399999999,-999,-999,-999,-999,-999
1969,1,46,-999,3.399999999,3.799999997,4.199999999,4.099999998,4,-999,-999,-999,-999,-999
