,Fair,Abramowitz,Campbell,Hibbs,Lewis-Beck/Tien,Lockerbie,Holbrook,Erikson/Wlezien,Cuzan,Actual
1992,55.7,46.3,49.7,48.9,,,,,,46.6
1996,49.5,57,55.5,53.5,53.3,,57.2,55.6,,54.7
2000,50.8,53.2,52.8,54.8,55.4,60.3,60.3,55.2,,50.3
2004,57.5,53.7,52.8,53.2,49.9,57.6,55.8,52.9,51.1,51.2
2008,48.1,45.7,52.7,48.5,43.4,41.8,44.3,47.8,48.1,46.3
