Year,Erikson-Wlezien
1952,46.725300
1956,55.765080
1960,50.912500
1964,63.424900
1968,50.181000
1972,59.718680
1976,46.017930
1980,45.379020
1984,57.353410
1988,51.217390
1992,47.004580
1996,55.852040
2000,51.635450
2004,53.676040
2008,46.136690
