Year,Lewis-Beck_Tien_Jobs,Lewis-Beck_Tien_Proxy
1952,44.93776,
1956,56.54747,
1960,48.36995,
1964,61.21047,
1968,49.60774,
1972,60.5817,
1976,50.9346,
1980,44.85378,45.7591
1984,58.51173,55.67796
1988,52.8423,52.59969
1992,47.44067,48.1533
1996,56.72649,52.34317
2000,51.99555,55.07941
2004,51.87163,52.25766
2008,44.12054,44.73301
